method,kendall_tau,mean_absolute_error,mean_squared_error,pearsonr,r2,spearmanr,owner_slug,report_url
competition-prediction-TVwnsb7kFbz72tSvqFjlV,0.619 ± 0.039,0.275 ± 0.019,0.115 ± 0.016,0.805 ± 0.033,0.638 ± 0.050,0.809 ± 0.038,prairiewarbler10,https://docs.google.com/document/d/1pof60W0rzZzhGYBxdtclGiq3TdZwtPVqB7Os2xTD8Us/edit?tab=t.0
competition-prediction-WngQzdppo6KXQsAbjVFLn,0.573 ± 0.040,0.303 ± 0.022,0.142 ± 0.019,0.749 ± 0.039,0.554 ± 0.058,0.772 ± 0.041,ebl88,https://docs.google.com/document/d/1A6sRjezd7GSeLatF7VTE9NeFhmA4rSzmgTvZTL1_Nh4/edit?usp=sharing
competition-prediction-salzAVayEdE5bdSjZjcWF,0.533 ± 0.045,0.317 ± 0.023,0.157 ± 0.020,0.730 ± 0.039,0.509 ± 0.051,0.725 ± 0.047,xiaolinpan,https://docs.google.com/document/d/1BzIMfdOfXJMHmuIfnlQUZRCnVfqNQKzgXZbnpJZBFwI/edit?usp=sharing
competition-prediction-MLf57NLNWQ4z2nAjSd6i1,0.533 ± 0.044,0.323 ± 0.023,0.162 ± 0.020,0.723 ± 0.040,0.495 ± 0.051,0.719 ± 0.048,weijunzhou,https://docs.google.com/document/d/1TPsdWO654-tL_Lz4_b_66xdGPeGNglil/edit?usp=drive_link&ouid=104987191201424644843&rtpof=true&sd=true
competition-prediction-5X8yltgjLcHqkJsUMwqNy,0.509 ± 0.048,0.324 ± 0.024,0.166 ± 0.022,0.699 ± 0.046,0.481 ± 0.064,0.692 ± 0.056,vchupakhin,https://gist.github.com/vchupakhinspl/9a5583d6acb9c1d1613a38710fefbbf6
competition-prediction-TKBSHdBoFKwmBnjFZ2t9i,0.510 ± 0.045,0.340 ± 0.023,0.169 ± 0.020,0.712 ± 0.041,0.470 ± 0.048,0.716 ± 0.050,rced,https://github.com/cedenoruel/sub_antiviral25
competition-prediction-phAZvCj3WPF5U4b2bV6ye,0.459 ± 0.047,0.345 ± 0.028,0.200 ± 0.027,0.648 ± 0.050,0.372 ± 0.084,0.638 ± 0.057,jharrison,https://gist.github.com/shug3502/f0fe74f443d1d82fa73bf869148c7cdc
competition-prediction-9mdXiMW946HVvNfSl9EKh,0.497 ± 0.045,0.349 ± 0.026,0.194 ± 0.026,0.656 ± 0.047,0.393 ± 0.066,0.688 ± 0.050,ryan-deepmirror,https://docs.google.com/document/d/1zFNA_CKfGRGbdzFXX8dOhkLIOFBybe6pn3H7X8qd6nY/edit?usp=sharing
competition-prediction-wLj8bdpvbUQ1Ej2iedMJM,0.481 ± 0.042,0.354 ± 0.023,0.181 ± 0.021,0.671 ± 0.041,0.434 ± 0.054,0.683 ± 0.047,longhung25,https://docs.google.com/document/d/1WBi1vd4_w09FliNxQ01vYq9j8mbzwHYqLtW0k_fUWlU/edit?usp=sharing
competition-prediction-Ekm3jhN497N5U3dupysp6,0.472 ± 0.053,0.355 ± 0.025,0.193 ± 0.022,0.688 ± 0.048,0.396 ± 0.061,0.665 ± 0.060,dzqh,https://drive.google.com/file/d/11JPTjWpcehLFpgmo9jpcJXyurLSvpTqm/view?usp=sharing
