method,kendall_tau,mean_absolute_error,mean_squared_error,pearsonr,r2,spearmanr,owner_slug,report_url
competition-prediction-TVwnsb7kFbz72tSvqFjlV,0.189 ± 0.074,0.101 ± 0.022,0.065 ± 0.025,0.602 ± 0.139,0.289 ± 0.246,0.276 ± 0.101,prairiewarbler10,https://docs.google.com/document/d/1pof60W0rzZzhGYBxdtclGiq3TdZwtPVqB7Os2xTD8Us/edit?tab=t.0
competition-prediction-5X8yltgjLcHqkJsUMwqNy,0.157 ± 0.069,0.112 ± 0.025,0.081 ± 0.028,0.469 ± 0.149,0.126 ± 0.214,0.235 ± 0.097,vchupakhin,https://gist.github.com/vchupakhinspl/9a5583d6acb9c1d1613a38710fefbbf6
competition-prediction-o9F72HDuybJSoN3gBFi2U,0.346 ± 0.058,0.112 ± 0.025,0.083 ± 0.030,0.516 ± 0.155,0.097 ± 0.301,0.490 ± 0.075,vladvin,https://docs.google.com/document/d/16y9EtElTmJ-p0bAYjJaNgkU8WP-CYz77lhHB2oxkTc4/edit?usp=sharing
competition-prediction-wLj8bdpvbUQ1Ej2iedMJM,0.226 ± 0.069,0.112 ± 0.018,0.051 ± 0.019,0.731 ± 0.100,0.436 ± 0.201,0.335 ± 0.095,longhung25,https://docs.google.com/document/d/1WBi1vd4_w09FliNxQ01vYq9j8mbzwHYqLtW0k_fUWlU/edit?usp=sharing
competition-prediction-WngQzdppo6KXQsAbjVFLn,0.282 ± 0.066,0.112 ± 0.021,0.065 ± 0.025,0.606 ± 0.135,0.303 ± 0.172,0.394 ± 0.088,ebl88,https://docs.google.com/document/d/1A6sRjezd7GSeLatF7VTE9NeFhmA4rSzmgTvZTL1_Nh4/edit?usp=sharing
competition-prediction-MLf57NLNWQ4z2nAjSd6i1,0.077 ± 0.076,0.114 ± 0.023,0.075 ± 0.027,0.516 ± 0.156,0.179 ± 0.257,0.130 ± 0.107,weijunzhou,https://docs.google.com/document/d/1TPsdWO654-tL_Lz4_b_66xdGPeGNglil/edit?usp=drive_link&ouid=104987191201424644843&rtpof=true&sd=true
competition-prediction-bW4KQ3HLK0ZS1RZybs8iZ,0.142 ± 0.073,0.114 ± 0.022,0.069 ± 0.026,0.553 ± 0.121,0.278 ± 0.123,0.209 ± 0.102,balamuruganthirukonda,https://docs.google.com/document/d/1lfroAm0TW4mxhHkZjAngHVioe5vrmQMp2C6TzWinu_g/edit?usp=sharing
competition-prediction-QS5ie0Aita8XSGpxE0ZEz,0.177 ± 0.078,0.114 ± 0.023,0.072 ± 0.026,0.587 ± 0.137,0.238 ± 0.124,0.231 ± 0.106,jacksonburns,https://github.com/JacksonBurns/neural-pairwise-regression/blob/main/meta
competition-prediction-TBsd4iv0TjLURmde8dpxy,0.118 ± 0.076,0.118 ± 0.023,0.074 ± 0.026,0.518 ± 0.116,0.207 ± 0.158,0.201 ± 0.103,xubf,https://docs.google.com/document/d/14NaFXBsCToKCyRTV2EiV7dTxBsBz_9R8ZWkTkLiovQk
competition-prediction-salzAVayEdE5bdSjZjcWF,0.087 ± 0.076,0.119 ± 0.024,0.077 ± 0.026,0.485 ± 0.161,0.166 ± 0.212,0.143 ± 0.105,xiaolinpan,https://docs.google.com/document/d/1BzIMfdOfXJMHmuIfnlQUZRCnVfqNQKzgXZbnpJZBFwI/edit?usp=sharing
