method,kendall_tau,mean_absolute_error,mean_squared_error,pearsonr,r2,spearmanr,owner_slug,report_url
competition-prediction-TVwnsb7kFbz72tSvqFjlV,0.787 ± 0.026,0.253 ± 0.021,0.124 ± 0.021,0.923 ± 0.017,0.845 ± 0.029,0.920 ± 0.019,prairiewarbler10,https://docs.google.com/document/d/1pof60W0rzZzhGYBxdtclGiq3TdZwtPVqB7Os2xTD8Us/edit?tab=t.0
competition-prediction-salzAVayEdE5bdSjZjcWF,0.778 ± 0.027,0.272 ± 0.021,0.130 ± 0.022,0.923 ± 0.018,0.837 ± 0.030,0.914 ± 0.019,xiaolinpan,https://docs.google.com/document/d/1BzIMfdOfXJMHmuIfnlQUZRCnVfqNQKzgXZbnpJZBFwI/edit?usp=sharing
competition-prediction-MLf57NLNWQ4z2nAjSd6i1,0.778 ± 0.028,0.294 ± 0.021,0.142 ± 0.021,0.920 ± 0.019,0.822 ± 0.029,0.913 ± 0.020,weijunzhou,https://docs.google.com/document/d/1TPsdWO654-tL_Lz4_b_66xdGPeGNglil/edit?usp=drive_link&ouid=104987191201424644843&rtpof=true&sd=true
competition-prediction-9mdXiMW946HVvNfSl9EKh,0.738 ± 0.031,0.301 ± 0.025,0.168 ± 0.037,0.893 ± 0.027,0.788 ± 0.054,0.888 ± 0.024,ryan-deepmirror,https://docs.google.com/document/d/1zFNA_CKfGRGbdzFXX8dOhkLIOFBybe6pn3H7X8qd6nY/edit?usp=sharing
competition-prediction-WngQzdppo6KXQsAbjVFLn,0.768 ± 0.024,0.323 ± 0.021,0.161 ± 0.020,0.910 ± 0.015,0.797 ± 0.034,0.917 ± 0.017,ebl88,https://docs.google.com/document/d/1A6sRjezd7GSeLatF7VTE9NeFhmA4rSzmgTvZTL1_Nh4/edit?usp=sharing
competition-prediction-wLj8bdpvbUQ1Ej2iedMJM,0.729 ± 0.030,0.341 ± 0.024,0.185 ± 0.027,0.890 ± 0.022,0.768 ± 0.044,0.887 ± 0.023,longhung25,https://docs.google.com/document/d/1WBi1vd4_w09FliNxQ01vYq9j8mbzwHYqLtW0k_fUWlU/edit?usp=sharing
competition-prediction-late-M4uNdgGuUwwjdkxfSNxFN,0.708 ± 0.032,0.368 ± 0.024,0.212 ± 0.031,0.889 ± 0.028,0.735 ± 0.046,0.870 ± 0.025,luispintoc,https://docs.google.com/document/d/124EmRMeXIZlXGmYmErVVvb5DLWnU_A_dXgwH43TAvvk/edit?usp=sharing
competition-prediction-Ekm3jhN497N5U3dupysp6,0.673 ± 0.033,0.387 ± 0.027,0.240 ± 0.030,0.841 ± 0.025,0.701 ± 0.041,0.848 ± 0.028,dzqh,https://drive.google.com/file/d/11JPTjWpcehLFpgmo9jpcJXyurLSvpTqm/view?usp=sharing
competition-prediction-5X8yltgjLcHqkJsUMwqNy,0.728 ± 0.026,0.393 ± 0.023,0.219 ± 0.026,0.875 ± 0.022,0.726 ± 0.042,0.889 ± 0.020,vchupakhin,https://gist.github.com/vchupakhinspl/9a5583d6acb9c1d1613a38710fefbbf6
competition-prediction-phAZvCj3WPF5U4b2bV6ye,0.606 ± 0.041,0.394 ± 0.029,0.254 ± 0.033,0.830 ± 0.028,0.683 ± 0.045,0.778 ± 0.043,jharrison,https://gist.github.com/shug3502/f0fe74f443d1d82fa73bf869148c7cdc
