method,kendall_tau,mean_absolute_error,mean_squared_error,pearsonr,r2,spearmanr,owner_slug,report_url
competition-prediction-TVwnsb7kFbz72tSvqFjlV,0.677 ± 0.030,0.151 ± 0.011,0.039 ± 0.005,0.935 ± 0.010,0.857 ± 0.021,0.868 ± 0.024,prairiewarbler10,https://docs.google.com/document/d/1pof60W0rzZzhGYBxdtclGiq3TdZwtPVqB7Os2xTD8Us/edit?tab=t.0
competition-prediction-WngQzdppo6KXQsAbjVFLn,0.681 ± 0.031,0.161 ± 0.013,0.049 ± 0.007,0.921 ± 0.013,0.822 ± 0.028,0.861 ± 0.027,ebl88,https://docs.google.com/document/d/1A6sRjezd7GSeLatF7VTE9NeFhmA4rSzmgTvZTL1_Nh4/edit?usp=sharing
competition-prediction-o9F72HDuybJSoN3gBFi2U,0.605 ± 0.040,0.167 ± 0.014,0.054 ± 0.010,0.897 ± 0.023,0.803 ± 0.041,0.806 ± 0.038,vladvin,https://docs.google.com/document/d/16y9EtElTmJ-p0bAYjJaNgkU8WP-CYz77lhHB2oxkTc4/edit?usp=sharing
competition-prediction-5X8yltgjLcHqkJsUMwqNy,0.679 ± 0.027,0.173 ± 0.013,0.051 ± 0.007,0.914 ± 0.015,0.815 ± 0.027,0.869 ± 0.021,vchupakhin,https://gist.github.com/vchupakhinspl/9a5583d6acb9c1d1613a38710fefbbf6
competition-prediction-ajpUtX7qgRCDweYWkd6af,0.624 ± 0.031,0.175 ± 0.014,0.055 ± 0.008,0.902 ± 0.016,0.801 ± 0.031,0.836 ± 0.027,oscar-mendez-lucio,https://www.nature.com/articles/s41467-024-53751-y
competition-prediction-late-M4uNdgGuUwwjdkxfSNxFN,0.660 ± 0.032,0.186 ± 0.011,0.050 ± 0.006,0.933 ± 0.012,0.819 ± 0.021,0.860 ± 0.026,luispintoc,https://docs.google.com/document/d/124EmRMeXIZlXGmYmErVVvb5DLWnU_A_dXgwH43TAvvk/edit?usp=sharing
competition-prediction-bW4KQ3HLK0ZS1RZybs8iZ,0.637 ± 0.029,0.189 ± 0.012,0.055 ± 0.006,0.917 ± 0.015,0.801 ± 0.027,0.846 ± 0.024,balamuruganthirukonda,https://docs.google.com/document/d/1lfroAm0TW4mxhHkZjAngHVioe5vrmQMp2C6TzWinu_g/edit?usp=sharing
competition-prediction-3snGxRMKjY2PBWmJoWpHP,0.695 ± 0.026,0.190 ± 0.013,0.059 ± 0.008,0.914 ± 0.016,0.785 ± 0.030,0.880 ± 0.020,wim0,https://molecular.beauty/blog/2025/03/13/polaris.html
competition-prediction-G52r9BmREKCiw6P598Lic,0.661 ± 0.028,0.203 ± 0.012,0.061 ± 0.007,0.903 ± 0.017,0.779 ± 0.028,0.853 ± 0.024,hugo-oicr-quaccel,https://docs.google.com/document/d/1NzwitQ-LugGcRjqfumZrAQQi-Wy1kEVC4U1-Rmfty9k/edit?usp=sharing
competition-prediction-TBsd4iv0TjLURmde8dpxy,0.590 ± 0.039,0.205 ± 0.013,0.064 ± 0.009,0.897 ± 0.022,0.767 ± 0.033,0.801 ± 0.036,xubf,https://docs.google.com/document/d/14NaFXBsCToKCyRTV2EiV7dTxBsBz_9R8ZWkTkLiovQk
competition-prediction-wLj8bdpvbUQ1Ej2iedMJM,0.620 ± 0.034,0.207 ± 0.014,0.066 ± 0.011,0.885 ± 0.027,0.759 ± 0.043,0.812 ± 0.035,longhung25,https://docs.google.com/document/d/1WBi1vd4_w09FliNxQ01vYq9j8mbzwHYqLtW0k_fUWlU/edit?usp=sharing
