method,kendall_tau,mean_absolute_error,mean_squared_error,pearsonr,r2,spearmanr,owner_slug,report_url
competition-prediction-WngQzdppo6KXQsAbjVFLn,0.546 ± 0.039,0.317 ± 0.024,0.166 ± 0.023,0.728 ± 0.043,0.517 ± 0.071,0.740 ± 0.042,ebl88,https://docs.google.com/document/d/1A6sRjezd7GSeLatF7VTE9NeFhmA4rSzmgTvZTL1_Nh4/edit?usp=sharing
competition-prediction-TVwnsb7kFbz72tSvqFjlV,0.534 ± 0.041,0.338 ± 0.024,0.177 ± 0.023,0.746 ± 0.045,0.485 ± 0.079,0.735 ± 0.045,prairiewarbler10,https://docs.google.com/document/d/1pof60W0rzZzhGYBxdtclGiq3TdZwtPVqB7Os2xTD8Us/edit?tab=t.0
competition-prediction-5X8yltgjLcHqkJsUMwqNy,0.488 ± 0.048,0.343 ± 0.024,0.184 ± 0.022,0.696 ± 0.047,0.465 ± 0.063,0.667 ± 0.057,vchupakhin,https://gist.github.com/vchupakhinspl/9a5583d6acb9c1d1613a38710fefbbf6
competition-prediction-uimrmltJ0uwnKiYFSY51r,0.506 ± 0.047,0.352 ± 0.024,0.192 ± 0.023,0.693 ± 0.045,0.444 ± 0.064,0.685 ± 0.055,haleemiliyash,https://docs.google.com/document/d/1fAZjJBSr3RDBXpZQNv_tcGKWohCIrPdUZYNf1ku1bYo/edit?usp=sharing
competition-prediction-wLj8bdpvbUQ1Ej2iedMJM,0.528 ± 0.038,0.364 ± 0.027,0.229 ± 0.032,0.738 ± 0.040,0.333 ± 0.099,0.725 ± 0.042,longhung25,https://docs.google.com/document/d/1WBi1vd4_w09FliNxQ01vYq9j8mbzwHYqLtW0k_fUWlU/edit?usp=sharing
competition-prediction-by4a9QHFNgZWuCfqUgzLH,0.506 ± 0.045,0.369 ± 0.022,0.191 ± 0.020,0.688 ± 0.044,0.446 ± 0.052,0.695 ± 0.052,adavi,https://storage.polarishub.io/2025-01-asap-discovery/reports/adavi.pdf
competition-prediction-TKBSHdBoFKwmBnjFZ2t9i,0.476 ± 0.048,0.376 ± 0.025,0.209 ± 0.024,0.657 ± 0.053,0.392 ± 0.067,0.656 ± 0.058,rced,https://github.com/cedenoruel/sub_antiviral25
competition-prediction-LaEg2QtWYFvvpEvoTQfVu,0.435 ± 0.055,0.376 ± 0.025,0.208 ± 0.024,0.637 ± 0.050,0.397 ± 0.061,0.598 ± 0.067,austint,https://github.com/AustinT/asap-2025-challenge-gp
competition-prediction-TBsd4iv0TjLURmde8dpxy,0.491 ± 0.042,0.381 ± 0.024,0.212 ± 0.022,0.674 ± 0.043,0.385 ± 0.062,0.686 ± 0.048,xubf,https://docs.google.com/document/d/14NaFXBsCToKCyRTV2EiV7dTxBsBz_9R8ZWkTkLiovQk
competition-prediction-wVsbdymtEj2iKNLcfa9Cd,0.407 ± 0.059,0.391 ± 0.024,0.216 ± 0.024,0.639 ± 0.054,0.373 ± 0.057,0.558 ± 0.074,qb2025,https://docs.google.com/document/d/118YhHzl7rEyoAwYSdiRxWzS_7RmweZbDyDFNHzlSTzo/edit?usp=drive_link
