method,cld,kendall_tau,mean_absolute_error,mean_squared_error,pearsonr,r2,spearmanr,owner_slug,report_url
competition-prediction-TVwnsb7kFbz72tSvqFjlV,a,0.561 ± 0.020,0.224 ± 0.009,0.104 ± 0.009,0.802 ± 0.030,0.623 ± 0.053,0.722 ± 0.024,prairiewarbler10,https://docs.google.com/document/d/1pof60W0rzZzhGYBxdtclGiq3TdZwtPVqB7Os2xTD8Us/edit?tab=t.0
competition-prediction-WngQzdppo6KXQsAbjVFLn,b,0.570 ± 0.018,0.243 ± 0.009,0.117 ± 0.009,0.783 ± 0.029,0.599 ± 0.039,0.737 ± 0.022,ebl88,https://docs.google.com/document/d/1A6sRjezd7GSeLatF7VTE9NeFhmA4rSzmgTvZTL1_Nh4/edit?usp=sharing
competition-prediction-5X8yltgjLcHqkJsUMwqNy,c,0.512 ± 0.021,0.269 ± 0.010,0.140 ± 0.010,0.731 ± 0.033,0.523 ± 0.048,0.670 ± 0.026,vchupakhin,https://gist.github.com/vchupakhinspl/9a5583d6acb9c1d1613a38710fefbbf6
competition-prediction-wLj8bdpvbUQ1Ej2iedMJM,d,0.517 ± 0.020,0.276 ± 0.010,0.142 ± 0.011,0.783 ± 0.025,0.546 ± 0.049,0.688 ± 0.024,longhung25,https://docs.google.com/document/d/1WBi1vd4_w09FliNxQ01vYq9j8mbzwHYqLtW0k_fUWlU/edit?usp=sharing
competition-prediction-salzAVayEdE5bdSjZjcWF,de,0.494 ± 0.022,0.277 ± 0.010,0.144 ± 0.010,0.723 ± 0.035,0.486 ± 0.047,0.640 ± 0.027,xiaolinpan,https://docs.google.com/document/d/1BzIMfdOfXJMHmuIfnlQUZRCnVfqNQKzgXZbnpJZBFwI/edit?usp=sharing
competition-prediction-MLf57NLNWQ4z2nAjSd6i1,e,0.496 ± 0.022,0.279 ± 0.010,0.143 ± 0.010,0.733 ± 0.034,0.493 ± 0.055,0.643 ± 0.027,weijunzhou,https://docs.google.com/document/d/1TPsdWO654-tL_Lz4_b_66xdGPeGNglil/edit?usp=drive_link&ouid=104987191201424644843&rtpof=true&sd=true
competition-prediction-9mdXiMW946HVvNfSl9EKh,f,0.509 ± 0.020,0.291 ± 0.010,0.148 ± 0.011,0.735 ± 0.026,0.475 ± 0.056,0.670 ± 0.025,ryan-deepmirror,https://docs.google.com/document/d/1zFNA_CKfGRGbdzFXX8dOhkLIOFBybe6pn3H7X8qd6nY/edit?usp=sharing
competition-prediction-TKBSHdBoFKwmBnjFZ2t9i,f,0.482 ± 0.022,0.292 ± 0.010,0.152 ± 0.010,0.743 ± 0.028,0.523 ± 0.039,0.643 ± 0.026,rced,https://github.com/cedenoruel/sub_antiviral25
competition-prediction-late-M4uNdgGuUwwjdkxfSNxFN,g,0.462 ± 0.021,0.301 ± 0.010,0.154 ± 0.010,0.720 ± 0.030,0.481 ± 0.047,0.616 ± 0.027,luispintoc,https://docs.google.com/document/d/124EmRMeXIZlXGmYmErVVvb5DLWnU_A_dXgwH43TAvvk/edit?usp=sharing
competition-prediction-ajpUtX7qgRCDweYWkd6af,h,0.462 ± 0.022,0.307 ± 0.010,0.177 ± 0.013,0.687 ± 0.034,0.423 ± 0.072,0.622 ± 0.027,oscar-mendez-lucio,https://www.nature.com/articles/s41467-024-53751-y
competition-prediction-o9F72HDuybJSoN3gBFi2U,i,0.454 ± 0.024,0.315 ± 0.013,0.215 ± 0.017,0.657 ± 0.038,0.343 ± 0.072,0.611 ± 0.030,vladvin,https://docs.google.com/document/d/16y9EtElTmJ-p0bAYjJaNgkU8WP-CYz77lhHB2oxkTc4/edit?usp=sharing
competition-prediction-wVsbdymtEj2iKNLcfa9Cd,i,0.455 ± 0.023,0.316 ± 0.010,0.172 ± 0.011,0.673 ± 0.029,0.432 ± 0.041,0.608 ± 0.029,qb2025,https://docs.google.com/document/d/118YhHzl7rEyoAwYSdiRxWzS_7RmweZbDyDFNHzlSTzo/edit?usp=drive_link
competition-prediction-TBsd4iv0TjLURmde8dpxy,i,0.423 ± 0.022,0.317 ± 0.012,0.195 ± 0.014,0.682 ± 0.029,0.437 ± 0.040,0.586 ± 0.028,xubf,https://docs.google.com/document/d/14NaFXBsCToKCyRTV2EiV7dTxBsBz_9R8ZWkTkLiovQk
