method,kendall_tau,mean_absolute_error,mean_squared_error,pearsonr,r2,spearmanr,owner_slug,report_url
competition-prediction-1MhGQMitUFqR2FcUhRllg,0.620 ± 0.026,0.437 ± 0.031,0.461 ± 0.117,0.766 ± 0.052,0.543 ± 0.094,0.797 ± 0.032,ccorbi,https://gist.github.com/shug3502/f0fe74f443d1d82fa73bf869148c7cdc
competition-prediction-blnBskG8gooYdhc29wEuu,0.573 ± 0.027,0.477 ± 0.030,0.481 ± 0.107,0.744 ± 0.049,0.523 ± 0.081,0.759 ± 0.034,xubf,https://docs.google.com/document/d/14NaFXBsCToKCyRTV2EiV7dTxBsBz_9R8ZWkTkLiovQk
competition-prediction-eeizFt9s2C0HThEyGM5dK,0.598 ± 0.026,0.484 ± 0.033,0.541 ± 0.116,0.716 ± 0.053,0.464 ± 0.091,0.779 ± 0.032,oscar-mendez-lucio,https://www.nature.com/articles/s41467-024-53751-y
competition-prediction-4eEPLwJrPGLtBVbc21paz,0.585 ± 0.026,0.496 ± 0.031,0.515 ± 0.106,0.741 ± 0.051,0.490 ± 0.077,0.770 ± 0.032,alx-dga,https://drive.google.com/file/d/1jUPsolAyrgZ-mIxi5AAMYKBigjniNVCf/view?usp=sharing
competition-prediction-FLUT3zC27jxaWLpo6Aoge,0.555 ± 0.030,0.498 ± 0.031,0.519 ± 0.108,0.708 ± 0.054,0.485 ± 0.081,0.729 ± 0.038,siat353,https://drive.google.com/file/d/1axeFC3gxcVGKPDwVZO2Tyi7W9Mz2ztLN/view?usp=drive_link
competition-prediction-late-s9EUvo7CepdKaV65Yj3MO,0.602 ± 0.027,0.505 ± 0.030,0.515 ± 0.105,0.756 ± 0.050,0.489 ± 0.076,0.783 ± 0.033,luispintoc,https://docs.google.com/document/d/124EmRMeXIZlXGmYmErVVvb5DLWnU_A_dXgwH43TAvvk/edit?usp=sharing
competition-prediction-JMFyxShsgcjYFnRzZQFFK,0.556 ± 0.027,0.515 ± 0.030,0.534 ± 0.101,0.725 ± 0.048,0.471 ± 0.072,0.741 ± 0.032,dodo,https://tinyurl.com/dodo-potency
competition-prediction-64eAZRW5acEnQ4QZfrrVB,0.564 ± 0.028,0.517 ± 0.030,0.518 ± 0.106,0.733 ± 0.053,0.487 ± 0.077,0.748 ± 0.035,rced,https://github.com/cedenoruel/sub_antiviral25
competition-prediction-mFXaxyz6aVQUTHZmXBbKv,0.574 ± 0.027,0.520 ± 0.029,0.509 ± 0.103,0.752 ± 0.052,0.495 ± 0.073,0.762 ± 0.033,ryan-deepmirror,https://docs.google.com/document/d/1zFNA_CKfGRGbdzFXX8dOhkLIOFBybe6pn3H7X8qd6nY/edit?usp=sharing
competition-prediction-YbG9mZ88TW0VZyLxXbthw,0.568 ± 0.027,0.520 ± 0.029,0.516 ± 0.103,0.732 ± 0.052,0.489 ± 0.075,0.749 ± 0.034,sina,https://github.com/khosravisina/Polaris-potency-report/tree/main
competition-prediction-9Yrcg7omjLhpejG2mfZXp,0.534 ± 0.028,0.528 ± 0.031,0.546 ± 0.105,0.705 ± 0.049,0.458 ± 0.077,0.719 ± 0.033,gufan1998,https://docs.google.com/document/d/1B2I1pnHB32qy_CmbFXAWgNfNG-4qn_C2/edit?usp=sharing&ouid=108734974888240888578&rtpof=true&sd=true
competition-prediction-u6GoQ1bnenK7gjAHUdmrb,0.554 ± 0.028,0.542 ± 0.029,0.538 ± 0.102,0.730 ± 0.052,0.467 ± 0.072,0.738 ± 0.035,austint,https://github.com/AustinT/asap-2025-challenge-gp
competition-prediction-LTj8nDyZE1cYCYaRzVols,0.543 ± 0.028,0.549 ± 0.029,0.548 ± 0.093,0.710 ± 0.044,0.456 ± 0.064,0.730 ± 0.033,wim0,https://molecular.beauty/blog/2025/03/13/polaris.html
competition-prediction-3FguUuXRH3w5o5CZ75KVD,0.552 ± 0.027,0.577 ± 0.028,0.569 ± 0.098,0.730 ± 0.051,0.436 ± 0.065,0.744 ± 0.032,caithmac,https://github.com/caithmac/polaris_potency_mpro
competition-prediction-FRAbKFdXri7jeiwx2u81Z,0.514 ± 0.026,0.579 ± 0.034,0.671 ± 0.107,0.658 ± 0.046,0.333 ± 0.073,0.713 ± 0.030,jacksonburns,https://github.com/JacksonBurns/neural-pairwise-regression/blob/main/meta
competition-prediction-wNi5FK6MaefmrF2LqbFr6,0.422 ± 0.035,0.609 ± 0.039,0.773 ± 0.128,0.576 ± 0.058,0.231 ± 0.096,0.587 ± 0.046,steffen-wedig,https://drive.google.com/file/d/1ZkPnvkzNaEYe45fLpGZyNUvU9rnM_oDq/view?usp=sharing
competition-prediction-0NvSmNhHEVTr9dYwNTJB9,0.494 ± 0.031,0.610 ± 0.032,0.661 ± 0.110,0.662 ± 0.057,0.344 ± 0.072,0.675 ± 0.039,wolberlab,https://github.com/talagayev/polaris_antiviral_challenge/blob/main/Preliminary_prediction_protocol_2nd_submission.md
