method,kendall_tau,mean_absolute_error,mean_squared_error,pearsonr,r2,spearmanr,owner_slug,report_url
competition-prediction-eeizFt9s2C0HThEyGM5dK,0.655 ± 0.019,0.533 ± 0.028,0.487 ± 0.052,0.862 ± 0.015,0.725 ± 0.030,0.852 ± 0.015,oscar-mendez-lucio,https://www.nature.com/articles/s41467-024-53751-y
competition-prediction-FLUT3zC27jxaWLpo6Aoge,0.673 ± 0.021,0.536 ± 0.030,0.512 ± 0.056,0.868 ± 0.019,0.711 ± 0.032,0.856 ± 0.019,siat353,https://drive.google.com/file/d/1axeFC3gxcVGKPDwVZO2Tyi7W9Mz2ztLN/view?usp=drive_link
competition-prediction-4eEPLwJrPGLtBVbc21paz,0.671 ± 0.022,0.549 ± 0.031,0.556 ± 0.061,0.859 ± 0.018,0.686 ± 0.031,0.851 ± 0.020,alx-dga,https://drive.google.com/file/d/1jUPsolAyrgZ-mIxi5AAMYKBigjniNVCf/view?usp=sharing
competition-prediction-mFXaxyz6aVQUTHZmXBbKv,0.666 ± 0.020,0.558 ± 0.030,0.547 ± 0.056,0.862 ± 0.017,0.691 ± 0.029,0.852 ± 0.019,ryan-deepmirror,https://docs.google.com/document/d/1zFNA_CKfGRGbdzFXX8dOhkLIOFBybe6pn3H7X8qd6nY/edit?usp=sharing
competition-prediction-late-s9EUvo7CepdKaV65Yj3MO,0.667 ± 0.024,0.559 ± 0.031,0.566 ± 0.063,0.857 ± 0.023,0.681 ± 0.034,0.841 ± 0.024,luispintoc,https://docs.google.com/document/d/124EmRMeXIZlXGmYmErVVvb5DLWnU_A_dXgwH43TAvvk/edit?usp=sharing
competition-prediction-blnBskG8gooYdhc29wEuu,0.652 ± 0.023,0.560 ± 0.033,0.593 ± 0.077,0.843 ± 0.022,0.665 ± 0.042,0.836 ± 0.022,xubf,https://docs.google.com/document/d/14NaFXBsCToKCyRTV2EiV7dTxBsBz_9R8ZWkTkLiovQk
competition-prediction-FRAbKFdXri7jeiwx2u81Z,0.670 ± 0.019,0.571 ± 0.030,0.549 ± 0.063,0.867 ± 0.017,0.690 ± 0.035,0.861 ± 0.016,jacksonburns,https://github.com/JacksonBurns/neural-pairwise-regression/blob/main/meta
competition-prediction-64eAZRW5acEnQ4QZfrrVB,0.676 ± 0.021,0.572 ± 0.031,0.574 ± 0.057,0.869 ± 0.018,0.676 ± 0.031,0.859 ± 0.019,rced,https://github.com/cedenoruel/sub_antiviral25
competition-prediction-LTj8nDyZE1cYCYaRzVols,0.661 ± 0.021,0.574 ± 0.030,0.560 ± 0.061,0.854 ± 0.022,0.684 ± 0.032,0.843 ± 0.022,wim0,https://molecular.beauty/blog/2025/03/13/polaris.html
competition-prediction-JMFyxShsgcjYFnRzZQFFK,0.655 ± 0.020,0.581 ± 0.030,0.570 ± 0.054,0.849 ± 0.016,0.678 ± 0.029,0.845 ± 0.017,dodo,https://tinyurl.com/dodo-potency
competition-prediction-9Yrcg7omjLhpejG2mfZXp,0.655 ± 0.023,0.582 ± 0.031,0.593 ± 0.065,0.847 ± 0.021,0.665 ± 0.035,0.840 ± 0.022,gufan1998,https://docs.google.com/document/d/1B2I1pnHB32qy_CmbFXAWgNfNG-4qn_C2/edit?usp=sharing&ouid=108734974888240888578&rtpof=true&sd=true
competition-prediction-u6GoQ1bnenK7gjAHUdmrb,0.662 ± 0.022,0.586 ± 0.031,0.580 ± 0.059,0.859 ± 0.021,0.672 ± 0.032,0.849 ± 0.022,austint,https://github.com/AustinT/asap-2025-challenge-gp
competition-prediction-YbG9mZ88TW0VZyLxXbthw,0.657 ± 0.023,0.588 ± 0.031,0.606 ± 0.065,0.851 ± 0.020,0.658 ± 0.034,0.837 ± 0.022,sina,https://github.com/khosravisina/Polaris-potency-report/tree/main
competition-prediction-4B5yo8ShntdJXDDDPTLpr,0.625 ± 0.023,0.593 ± 0.035,0.648 ± 0.074,0.832 ± 0.020,0.634 ± 0.040,0.829 ± 0.019,talagayev,https://github.com/talagayev/polaris_antiviral_challenge/blob/main/ADMET_MPNN/report.md
competition-prediction-1MhGQMitUFqR2FcUhRllg,0.679 ± 0.024,0.596 ± 0.030,0.597 ± 0.067,0.860 ± 0.025,0.663 ± 0.037,0.849 ± 0.026,ccorbi,https://gist.github.com/shug3502/f0fe74f443d1d82fa73bf869148c7cdc
competition-prediction-4j4z6oqcwr72GzgT4cQ6R,0.632 ± 0.025,0.603 ± 0.033,0.646 ± 0.076,0.816 ± 0.027,0.635 ± 0.043,0.817 ± 0.027,wtrd,https://docs.google.com/document/d/1464wiMCWdncfWoMIpL4WHI31qOECqeBq0CEhwiAAfW4/edit?usp=sharing
competition-prediction-a9l9rEDGgw5wDcnMn3fud,0.637 ± 0.025,0.614 ± 0.032,0.641 ± 0.082,0.831 ± 0.030,0.637 ± 0.047,0.825 ± 0.026,bkaminow,https://github.com/kaminow/asap-polaris-challenge-potency-2025/blob/main/report.md
competition-prediction-3FguUuXRH3w5o5CZ75KVD,0.657 ± 0.019,0.622 ± 0.030,0.622 ± 0.057,0.862 ± 0.016,0.649 ± 0.031,0.858 ± 0.015,caithmac,https://github.com/caithmac/polaris_potency_mpro
competition-prediction-W629EUTViiRp72beZuA5U,0.606 ± 0.022,0.695 ± 0.035,0.827 ± 0.099,0.794 ± 0.032,0.533 ± 0.058,0.812 ± 0.020,nnnty,https://github.com/yul533/polaris-antiviral-challenge/blob/main/potency%20prediction%202
competition-prediction-wNi5FK6MaefmrF2LqbFr6,0.573 ± 0.025,0.703 ± 0.041,0.925 ± 0.096,0.763 ± 0.025,0.478 ± 0.053,0.766 ± 0.026,steffen-wedig,https://drive.google.com/file/d/1ZkPnvkzNaEYe45fLpGZyNUvU9rnM_oDq/view?usp=sharing
competition-prediction-5RJGGvBhxyKc5YjHbsb0g,0.599 ± 0.022,0.706 ± 0.037,0.870 ± 0.107,0.782 ± 0.033,0.509 ± 0.062,0.804 ± 0.020,yul533,https://github.com/yul533/polaris-antiviral-challenge/blob/main/potency%20prediction
competition-prediction-0NvSmNhHEVTr9dYwNTJB9,0.586 ± 0.025,0.709 ± 0.035,0.831 ± 0.081,0.788 ± 0.027,0.531 ± 0.045,0.777 ± 0.030,wolberlab,https://github.com/talagayev/polaris_antiviral_challenge/blob/main/Preliminary_prediction_protocol_2nd_submission.md
competition-prediction-bqUftovjZSaYp2RepD76e,0.652 ± 0.022,0.743 ± 0.031,0.804 ± 0.062,0.847 ± 0.024,0.546 ± 0.035,0.842 ± 0.023,azminewasi,https://github.com/azminewasi/polaris-antiviral-competition/blob/main/antiviral-potency-2025/report/report.pdf
competition-prediction-late-L7MCXqhAWm3ADNfCMTxFS,0.586 ± 0.031,0.757 ± 0.041,0.998 ± 0.123,0.756 ± 0.036,0.436 ± 0.068,0.761 ± 0.037,longhung25,https://docs.google.com/document/d/140sY_Rx_YPEnaw4TbuvuuaO4rq1F29TvNHh779Me5Jc/edit?usp=sharing
competition-prediction-pr9pVVQedDD3mD0WXrWMg,0.605 ± 0.020,0.829 ± 0.037,1.038 ± 0.083,0.839 ± 0.017,0.413 ± 0.049,0.817 ± 0.017,kysun,https://docs.google.com/document/d/1YVxVi-zMc7rX0TrvO7SIZfkQ-uUx3ChdtV4oovq80ts/edit?usp=sharing
competition-prediction-ReoR53l5wBTRr6Py011Fn,0.592 ± 0.023,0.901 ± 0.041,1.235 ± 0.102,0.774 ± 0.025,0.302 ± 0.059,0.796 ± 0.022,danialshah353,https://drive.google.com/file/d/1xrmgHAFcyRDAGTQTEeHn83GxuQBfm4cr/view?usp=sharing
competition-prediction-qg5PVWDLbiN5ndytwYPta,0.507 ± 0.030,0.909 ± 0.039,1.222 ± 0.102,0.730 ± 0.037,0.310 ± 0.047,0.695 ± 0.038,hbaumann,https://github.com/meyresearch/polaris_challenge/tree/main
competition-prediction-9Aaxri873JWxewEcbzl9j,0.541 ± 0.026,0.924 ± 0.043,1.328 ± 0.118,0.749 ± 0.028,0.249 ± 0.070,0.743 ± 0.028,kbishop,https://docs.google.com/document/d/1exokoYptuwRllvnQp_S42ZW3ecDc6zdk/edit?usp=sharing&ouid=111958341380201258210&rtpof=true&sd=true
competition-prediction-NJdr6C8caPRWhUp0KSA4J,0.562 ± 0.022,0.980 ± 0.041,1.387 ± 0.093,0.796 ± 0.022,0.217 ± 0.053,0.767 ± 0.023,hmacdope,https://github.com/asapdiscovery/asap-polaris-challenge-baselines
competition-prediction-A5j8QDEsevsGLLhzPGNh2,0.636 ± 0.020,1.141 ± 0.086,3.246 ± 0.463,0.679 ± 0.027,-0.836 ± 0.277,0.835 ± 0.017,geosmina,https://github.com/jaaisu/polaris_challenge/blob/main/README.md
competition-prediction-Urln41KPESzYx2ao4tGbC,0.306 ± 0.038,1.342 ± 0.062,2.791 ± 0.267,0.373 ± 0.075,-0.577 ± 0.147,0.436 ± 0.054,ialibay,https://github.com/meyresearch/polaris_challenge/tree/main
competition-prediction-fTl3CZi7ZKnrswuuFasqs,0.601 ± 0.020,1.346 ± 0.056,2.622 ± 0.175,0.817 ± 0.017,-0.482 ± 0.106,0.813 ± 0.017,kriegegroup,https://docs.google.com/document/d/1mth0dsjh6ir_qEQt-3CW7YsZHR1LK2jF6rsguKbd89M/edit?usp=sharing
